Vulnerability_Type,Model,Accuracy,Precision,Recall,F1
reentrancy,QGCN_Linear,0.9456869009584664,0.909297052154195,0.9347319347319347,0.9218390804597701
reentrancy,QGCN_MPS,0.9169329073482428,0.8859857482185273,0.8694638694638694,0.8776470588235294
reentrancy,QGCN_TTN,0.9129392971246006,0.8319502074688797,0.9347319347319347,0.8803512623490669
timestamp,QGCN_Linear,0.8023952095808383,0.9390243902439024,0.5579710144927537,0.7
timestamp,QGCN_MPS,0.8023952095808383,0.9390243902439024,0.5579710144927537,0.7
timestamp,QGCN_TTN,0.8023952095808383,0.9390243902439024,0.5579710144927537,0.7
integeroverflow,QGCN_Linear,0.6699346405228758,1.0,0.00980392156862745,0.019417475728155338
integeroverflow,QGCN_MPS,0.3333333333333333,0.3333333333333333,1.0,0.5
integeroverflow,QGCN_TTN,0.6666666666666666,0.0,0.0,0.0
